# 1st Heatig,1st Heatig,2nd Heating,2nd Heating
573.94,3.5761,575.14,3.5798
577.08,3.5761,577.99,3.5799
580.05,3.5762,580.75,3.5800
582.81,3.5764,583.79,3.5802
585.81,3.5766,587.00,3.5804
588.84,3.5767,590.01,3.5805
591.65,3.5769,592.61,3.5807
594.40,3.5770,595.62,3.5808
597.33,3.5772,598.43,3.5810
600.44,3.5774,601.36,3.5812
603.54,3.5775,604.45,3.5814
606.52,3.5777,607.53,3.5815
609.38,3.5779,610.46,3.5817
612.15,3.5780,613.35,3.5819
615.07,3.5782,616.44,3.5821
617.99,3.5784,619.27,3.5822
620.75,3.5785,622.09,3.5824
623.44,3.5786,625.03,3.5826
626.53,3.5789,628.15,3.5827
629.42,3.5790,630.89,3.5829
632.33,3.5791,633.65,3.5831
635.02,3.5793,636.68,3.5832
637.76,3.5795,639.73,3.5834
640.63,3.5796,642.82,3.5836
643.53,3.5798,645.50,3.5837
646.36,3.5800,648.50,3.5839
649.27,3.5801,651.46,3.5841
652.20,3.5803,654.60,3.5842
654.94,3.5805,657.21,3.5844
657.68,3.5806,659.98,3.5846
660.67,3.5808,662.94,3.5848
663.73,3.5810,666.14,3.5850
666.55,3.5811,669.17,3.5851
669.26,3.5813,672.16,3.5853
672.38,3.5815,675.00,3.5855
675.45,3.5816,677.97,3.5857
678.22,3.5818,681.05,3.5859
680.99,3.5820,683.92,3.5860
684.03,3.5821,687.00,3.5862
687.13,3.5823,689.86,3.5864
689.85,3.5825,692.95,3.5865
692.54,3.5826,695.92,3.5867
695.38,3.5828,698.84,3.5869
698.18,3.5829,701.67,3.5870
700.83,3.5831,704.59,3.5872
703.77,3.5833,707.52,3.5874
706.52,3.5834,710.22,3.5875
709.22,3.5836,713.21,3.5877
712.08,3.5838,716.31,3.5879
714.84,3.5839,719.12,3.5881
717.59,3.5840,722.15,3.5883
720.40,3.5842,725.34,3.5884
723.23,3.5843,728.01,3.5886
725.87,3.5845,730.88,3.5888
728.75,3.5847,733.85,3.5890
731.52,3.5848,736.59,3.5891
734.44,3.5850,739.74,3.5893
737.28,3.5852,742.69,3.5895
740.12,3.5853,745.62,3.5897
743.03,3.5855,748.72,3.5899
745.99,3.5857,751.50,3.5900
749.08,3.5858,754.44,3.5902
751.80,3.5860,757.51,3.5904
754.79,3.5862,760.29,3.5906
757.85,3.5864,763.22,3.5908
760.59,3.5865,766.10,3.5909
763.59,3.5867,769.03,3.5911
766.38,3.5868,772.08,3.5913
769.29,3.5870,775.19,3.5914
772.28,3.5872,777.91,3.5916
775.25,3.5874,781.10,3.5918
777.97,3.5875,783.97,3.5920
780.82,3.5877,786.94,3.5922
783.81,3.5879,789.71,3.5923
786.65,3.5880,792.75,3.5925
789.49,3.5882,795.88,3.5927
792.53,3.5884,798.55,3.5929
795.23,3.5885,801.71,3.5931
798.12,3.5887,804.81,3.5932
801.40,3.5889,807.82,3.5934
804.31,3.5891,810.98,3.5937
807.31,3.5893,814.02,3.5938
810.43,3.5895,816.98,3.5940
813.16,3.5896,819.98,3.5942
816.17,3.5898,823.02,3.5943
819.05,3.5901,825.89,3.5945
821.93,3.5902,828.51,3.5947
824.86,3.5904,831.37,3.5948
827.60,3.5907,834.32,3.5950
830.64,3.5908,837.37,3.5952
833.82,3.5911,840.13,3.5953
836.60,3.5913,843.19,3.5955
839.47,3.5914,846.32,3.5957
842.23,3.5917,849.30,3.5958
844.92,3.5919,852.13,3.5960
847.76,3.5920,854.97,3.5962
850.64,3.5923,858.03,3.5964
853.56,3.5926,861.04,3.5965
856.71,3.5928,863.65,3.5967
859.70,3.5930,866.89,3.5969
862.54,3.5932,869.62,3.5970
865.42,3.5934,873.23,3.5972
868.36,3.5936,875.71,3.5974
871.23,3.5938,879.08,3.5975
874.36,3.5941,881.68,3.5977
877.25,3.5943,884.05,3.5979
880.13,3.5945,887.00,3.5981
883.11,3.5947,888.46,3.5983
886.12,3.5949,893.44,3.5984
888.88,3.5951,896.34,3.5986
891.49,3.5953,898.94,3.5989
894.82,3.5956,901.50,3.5990
898.00,3.5957,904.92,3.5992
900.89,3.5959,907.37,3.5994
903.58,3.5962,910.54,3.5996
906.60,3.5963,913.77,3.5998
909.75,3.5965,916.51,3.6000
912.65,3.5968,919.55,3.6002
915.88,3.5969,921.62,3.6005
918.35,3.5972,924.78,3.6006
921.72,3.5974,928.04,3.6008
924.57,3.5976,930.76,3.6011
927.58,3.5978,933.07,3.6013
929.95,3.5980,936.31,3.6014
932.61,3.5981,940.10,3.6017
935.81,3.5984,942.66,3.6019
938.94,3.5986,945.43,3.6021
941.73,3.5988,948.52,3.6023
944.62,3.5990,952.03,3.6025
947.36,3.5992,954.92,3.6028
950.78,3.5994,957.52,3.6030
953.12,3.5996,960.42,3.6032
956.47,3.5998,962.71,3.6034
959.03,3.6000,966.79,3.6036
961.99,3.6003,968.74,3.6038
964.83,3.6004,972.49,3.6040
967.05,3.6006,975.28,3.6042
970.60,3.6009,978.41,3.6044
973.06,3.6012,980.75,3.6046
976.40,3.6014,983.87,3.6048
979.33,3.6016,987.51,3.6050
982.64,3.6019,989.96,3.6052
984.60,3.6021,992.78,3.6054
988.22,3.6024,995.59,3.6056
991.44,3.6027,998.50,3.6058
994.28,3.6029,1001.72,3.6060
996.73,3.6031,1004.32,3.6062
999.80,3.6034,1007.08,3.6064
1002.24,3.6036,1009.94,3.6066
1005.45,3.6039,1012.85,3.6068
1008.46,3.6041,1015.76,3.6070
1010.32,3.6043,1018.78,3.6072
1013.77,3.6046,1021.82,3.6074
1016.96,3.6048,1024.56,3.6076
1020.19,3.6051,1027.31,3.6078
1023.31,3.6054,1030.11,3.6080
1027.00,3.6057,1032.96,3.6082
1029.31,3.6059,1035.98,3.6084
1032.14,3.6061,1038.82,3.6086
1034.98,3.6063,1041.83,3.6089
1038.08,3.6066,1044.62,3.6091
1040.71,3.6068,1047.49,3.6093
1043.91,3.6070,1050.51,3.6096
1046.64,3.6073,1053.52,3.6097
1049.67,3.6075,1056.30,3.6100
1052.69,3.6078,1059.11,3.6102
1055.65,3.6081,1061.87,3.6104
1058.50,3.6083,1064.89,3.6106
1061.33,3.6085,1067.94,3.6108
1064.20,3.6087,1070.74,3.6110
1067.21,3.6090,,
1070.29,3.6092,,
1073.06,3.6094,,
1073.27,3.6097,,