# Temperature(K) ,"Lattice parameter, a (_) - aged"
573.94033,3.57607
577.07806,3.57608
580.05164,3.57619
582.81102,3.57636
585.81278,3.57656
588.83893,3.57669
591.64602,3.57686
594.39823,3.57704
597.33184,3.57717
600.43552,3.57736
603.53688,3.57755
606.52366,3.57769
609.38189,3.57788
612.15258,3.57805
615.06619,3.57819
617.98653,3.57837
620.74834,3.57852
623.43937,3.57865
626.52663,3.57885
629.41857,3.57901
632.33296,3.57914
635.02176,3.57933
637.76439,3.57948
640.63401,3.57962
643.52715,3.57982
646.3553,3.57997
649.2707,3.58012
652.1995,3.58032
654.938,3.58047
657.68028,3.58061
660.67007,3.58081
663.7271,3.58098
666.55344,3.58113
669.26284,3.58131
672.38018,3.58147
675.44535,3.58164
678.21509,3.58182
680.99305,3.58196
684.03422,3.58212
687.13442,3.58234
689.84943,3.58246
692.5394,3.58262
695.37607,3.5828
698.17551,3.58293
700.83283,3.58308
703.7661,3.58327
706.52337,3.58342
709.22375,3.58358
712.08394,3.58376
714.83957,3.58386
717.59307,3.58403
720.40176,3.58422
723.22645,3.58433
725.8739,3.5845
728.74803,3.58469
731.51648,3.58482
734.44247,3.585
737.27569,3.58518
740.11567,3.58531
743.03386,3.58547
745.98681,3.58568
749.0823,3.58582
751.79552,3.58598
754.78568,3.58619
757.84854,3.5864
760.59216,3.58652
763.5863,3.58666
766.37599,3.58684
769.28926,3.58699
772.27822,3.58716
775.25496,3.58737
777.97226,3.5875
780.81681,3.58765
783.81365,3.58787
786.64579,3.58801
789.48511,3.58817
792.52754,3.58839
795.22663,3.58853
798.12158,3.5887
801.39546,3.58893
804.30519,3.58909
807.31022,3.58928
810.4331,3.58951
813.15907,3.58963
816.16521,3.58983
819.04798,3.59006
821.93192,3.59021
824.8567,3.59043
827.59509,3.59065
830.63863,3.59082
833.82359,3.59105
836.60389,3.59127
839.47183,3.59144
842.22751,3.59165
844.91519,3.59188
847.75734,3.59204
850.63903,3.59229
853.56454,3.59255
856.7136,3.59275
859.69997,3.59301
862.54255,3.5932
865.41915,3.59341
868.35793,3.59365
871.23258,3.59383
874.35736,3.59405
877.25074,3.59429
880.13321,3.59447
883.10586,3.59468
886.12487,3.59493
888.88451,3.59509
891.49016,3.5953
894.81912,3.59555
897.99901,3.59571
900.89034,3.59592
903.57982,3.59616
906.60087,3.59632
909.74824,3.59654
912.64853,3.59679
915.87512,3.59695
918.3462,3.59717
921.71715,3.59739
924.56973,3.59755
927.58304,3.59778
929.95193,3.59799
932.60566,3.59815
935.80683,3.59838
938.936,3.5986
941.73399,3.59878
944.61857,3.59901
947.36114,3.59921
950.78419,3.5994
953.1175,3.59965
956.47444,3.59983
959.03312,3.60005
961.98859,3.60028
964.82829,3.60043
967.045,3.60063
970.59646,3.60089
973.05922,3.60115
976.39705,3.60139
979.32882,3.60164
982.64192,3.60189
984.59938,3.60213
988.22221,3.60237
991.44032,3.60266
994.27547,3.60289
996.73346,3.6031
999.79589,3.60338
1002.24115,3.60363
1005.44802,3.60386
1008.45615,3.60412
1010.31812,3.60434
1013.76671,3.60457
1016.96231,3.60485
1020.19017,3.6051
1023.3089,3.60536
1026.99915,3.60565
1029.31487,3.60592
1032.13613,3.60612
1034.98284,3.60634
1038.07578,3.60658
1040.70864,3.60678
1043.90792,3.60702
1046.6446,3.60729
1049.66679,3.60755
1052.69454,3.60783
1055.65437,3.60805
1058.49679,3.60826
1061.32991,3.60851
1064.19578,3.60875
1067.21181,3.60897
1070.28555,3.60922
1073.06153,3.60943
1073.2732,3.60965